TID,FIRST_NAME,LAST_NAME,TYPE,TITLE,ABSTRACT
11,Amin,Faghih,MS23: Advances in Krylov subspace methods and their applications,Krylov subspaces and Sobolev functions,"In this talk, we will discuss how to generate Sobolev rational functions that are orthonormal with respect to a discrete Sobolev inner product through a long recurrence relation. The recurrence coefficients of this relation can be stored in a Hessenberg pencil. Two important numerical methods are those based on Krylov subspace methods and those based on restoring matrix structures. The methods are based on the connection between Sobolev orthonormal rational functions and the orthonormal bases for rational Krylov subspaces generated by a Jordan-like matrix."
12,Wasin,So,Contributed talk,Formal orthogonal systems,"Dreaming of an effective way to generate orthogonal bases in ${\bf R}^n$, 
we study  formal orthogonal systems which are  collections of nonzero $n \times n$  real matrices 
\[ \{A_0=I_n, A_1, A_2, \ldots,A_{n-1}\}\]
such that $\{A_0x, A_1x,A_2x,\cdots,A_{n-1}x\}$
 is an orthogonal set for all $x$ in ${\bf R}^n$. We prove that 
 formal orthogonal systems of order $n$ exist if and only if $n=1, 2,4,$ or  $8$.
 The proof has an unexpected connection to the famous results of Adolf Hurwitz
  on the product of two sums of $n$ squares.
 
 \vspace{.3in}
 
 Joint work with Ardak Kapbasov and Shaunak Mashalkar."
13,Fernando,De Terán,Plenary talk,The canonical form for congruence: some history and applications,"A square matrix $A$ can be either seen as a linear map or as a bilinear form. When considered as a linear map, it is natural to introduce the relation of ``similarity'', $P^{-1}AP$ (with $P$ invertible), which is a change of basis that allows us to represent the linear map in a simpler form, in particular in the well-known ``Jordan canonical form''. When considering the matrix $A$ as a bilinear form, the natural relation instead is the one of ``congruence'', $P^\top AP$ (with $P$ invertible), which is the suitable change of basis for bilinear forms. Is there a canonical form for such a relation? The answer is yes, and actually some different canonical forms for congruence have been introduced over the years since the 1930's. In this talk I will introduce the most recent one (by Horn and Sergeichuk, 2006), review the history of this and the other canonical forms, and show some applications in the context of my past and current research, including:
\begin{itemize}
    \item The solution of the equation $AX+X^\top A=0$ and its connection to $\top$-palindromic pencils.
    \item The consistency of the equation $X^\top AX=B$ when $B$ is either symmetric or skew-symmetric.
\end{itemize}"
14,Fernando,De Terán,"MS5: Advances in matrix equations: Theory, computations, and applications",The uniqueness of solution of systems of generalized Sylvester and $\star$-Sylvester equations,"The {\em generalized Sylvester equation}
$$
AXB-CXD=E
$$
has been a subject of interest since, at least, the early 20th century. More recently, the {\em$\star$-generalized Sylvester equation}
$$
AXB-CX^\star D=E,
$$
with $\star$ being either the transpose or the conjugate transpose, has attracted some attention within the linear algebra community.

In this talk, we provide necessary and sufficient conditions for the uniqueness of solution of homogeneous systems of generalized Sylvester and $\star$-Sylvester equations, namely
$$
A_iX_{\alpha_i}^{s_i}B_i-C_iX_{\beta_i}^{t_i}D_i=0,\qquad i=1,\hdots,r,
$$
with $s_i,t_i\in\{1,\star\}$. 

We focus on the case where the system has the same number of equations and unknowns (namely, $r$), and where all coefficient matrices (and unknowns) are square and with the same size."
15,Fernando,De Terán,MS27: Linear algebra education,A linear algebra online course experience at UC3M: development and teaching,I will review my experience with a SPOC (Small Private Online Course) with flipped classroom that we developed to teach basic Linear Algebra at UC3M. We used this course for 6 academic years in a first-year Linear Algebra course for engineers.
16,Tanay,Saha,Contributed talk,"Computing the nearest structured non-prime polynomial matrix: theory, algorithms, and numerical approaches","We first address the problem of computing the nearest non-prime polynomial matrix to a given left-prime polynomial matrix, without imposing structural constraints. This problem extends the classical task of finding the nearest non-coprime polynomials to a set of coprime polynomials. Our approach begins by establishing the equivalence between the left-primeness property of a polynomial matrix and the rank deficiency of a specific block Toeplitz matrix derived from the polynomial matrix. By leveraging this equivalence, we reformulate the problem as finding the nearest Structured Low-Rank Approximation (SLRA) to the associated block Toeplitz matrix, with a particular focus on cases where the leading coefficient matrix of the left-prime polynomial matrix has full row rank.

We further generalize the problem to compute a non-prime matrix that is as close as possible to a given left-prime polynomial matrix while preserving a predefined structural form. In this setting, the problem is again recast as computing the nearest SLRA of a structured matrix in case of full rank leading coefficient matrix. For computing SLRA, we employ numerical techniques such as the STLN method and regularized factorization, both of which are well-documented in the literature.

Additionally, we prove that it is possible to approximate a left-prime polynomial matrix with a rank-deficient leading coefficient matrix by a non-prime polynomial matrix, without adhering to the underlying structure. For cases involving structured coefficient matrices, we reformulate the problem as a constrained optimization task. By applying numerical optimization methods, we solve this optimization problem effectively.

Finally, we demonstrate the efficacy of our proposed algorithm with several numerical examples and compare the results with existing approaches in the literature wherever possible."
17,Luis Miguel,Anguas Márquez,Contributed talk,New approaches to the solutions of bispectral problems,"A family of polynomials is a solution to a bispectral problem if it forms a sequence of eigenfunctions of both a finite-order differential operator $L$ and a difference operator $J$. In 1929, S. Bochner studied the case where the differential operator is of order $2$, identifying the sequences of classical orthogonal polynomials as solutions to the bispectral problem. Since then, several contributions have been made to the study of the bispectral problem, but the case of arbitrary order remains open.

The aim of this talk is to present new tools that have helped us obtain results on whether certain differential operators produce sequences of eigenpolynomials that solve the bispectral problem. We will draw examples of such differential operators from the existing literature on bispectral problems."
18,Shivani,Goel,MS21: Linear algebra techniques in graph theory,Resistance distance in directed graphs,"Let $G=(V, E)$ be a strongly connected and balanced digraph with vertex set $V={1,\dotsc,n}$. The Laplacian matrix of $G$ is then the matrix (not necessarily symmetric) $L:=D-A$, where $A$ is the adjacency matrix of $G$ and $D$ is the diagonal matrix such that the row sums and the column sums of $L$ are equal to zero.
Let $L^{\dag}=[l^{\dag}_{ij}]$ be the Moore-Penrose inverse of $L$.
We define the resistance between any two vertices $i$ and $j$ of $G$ by $r_{ij}:=l^{\dag}_{ii}+l^{\dag}_{jj}-2l^{\dag}_{ij}$.
Some interesting properties of the resistance and the corresponding resistance matrix $[r_{ij}]$ will be discussed in the talk.

The classical distance $d_{ij}$ between any two vertices $i$ and $j$ in $G$ is the minimum length of all the
directed paths joining $i$ and $j$.
Numerical examples show that
the resistance distance between $i$ and $j$ is always less than or equal to the classical distance, i.e.
$r_{ij} \leq d_{ij}$. However, no proof of this inequality is known. In the talk, we will show that this inequality holds for all directed cactus graphs. This is a joint work with Dr. R. Balaji and Professor R. B. Bapat.

Keywords: Laplacian matrix, Moore-Penrose inverse, Balanced directed graph, cofactor sums, Directed cactus graph"
19,Jenny,Salinasan,MS31: Matrix decompositions and applications,The $\phi_S$ polar decomposition when $S$ is skew-symmetric,"Let $F$ be a field with characteristic not equal to $2$, and $S \in M_{2n}(F)$ be skew-symmetric $(S^{\top}=-S)$ and nonsingular.
Let $\phi_S$ be the function defined by $\phi_S(A)=S^{-1}A^{\top}S$ for all $A \in M_{2n}(F)$.
Suppose $A \in M_{2n}(F)$.
We say that $A$ is $\phi_S$-orthogonal if $A$ is nonsingular and $\phi_S(A)=A^{-1}$; and $A$ is $\phi_S$-symmetric if $\phi_S(A)=A$.
We say that $A$ has a $\phi_S$ polar decomposition if $A=XY$ for some $\phi_S$-orthogonal $X \in M_{2n}(F)$ and $\phi_S$-symmetric $Y \in M_{2n}(F)$.
We give necessary and sufficient conditions for an $X \in M_{2n}(F)$ to have a $\phi_S$ polar decomposition."
20,Eloise,Misa,MS31: Matrix decompositions and applications,The algebra generated by nilpotent elements in a matrix centralizer,"For an arbitrary square matrix $S$, denote by $C(S)$ the centralizer of $S$, and by $C(S)_N$ the set of all nilpotent elements in $C(S)$.
In this paper, we use the Weyr canonical form to study the subalgebra $\mathcal{A}(S)$ of $C(S)$ generated by $C(S)_N$. We give a necessary and/or sufficient condition such that $A \in C(S)$ is a sum or product of nilpotent matrices in $C(S)$. We determine conditions on $S$ such that $C(S)_N$ is a subalgebra of $C(S)$, that is, when $\mathcal{A}(S)=C(S)_N$. We also determine conditions on $S$ such that the subalgebra generated by $C(S)_N$ is $C(S)$, that is, when $\mathcal{A}(S)=C(S)$."
21,Juan Paolo,Santos,MS31: Matrix decompositions and applications,On commutators of unipotent matrices of index $2$,"A commutator of unipotent matrices of index $2$ is a matrix of the form $XYX^{-1}Y^{-1}$, where $X$ and $Y$ are unipotent matrices of index $2$, that is, $X \ne I_n$, $Y \ne I_n$, and $(X-I_n)^2=(Y-I_n)^2=0_n$. If $n>2$ and $\mathbb{F}$ is a field with $|\mathbb{F}| \geq 4$, then it is shown that every $n \times n$ matrix over $\mathbb{F}$ with determinant $1$ is a product of at most four commutators of unipotent matrices of index $2$. Consequently, every $n \times n$ matrix over $\mathbb{F}$ with determinant $1$ is a product of at most eight unipotent matrices of index $2$. Conditions on $\mathbb{F}$ are given that improve the upper bound on the commutator factors from four to three or two. The situation for $n=2$ is also considered. This study reveals a connection between factorability into commutators of unipotent matrices and properties of $\mathbb{F}$ such as its characteristic or its set of perfect squares."
22,Roksana,Słowik,Contributed talk,Products of infinite upper triangular matrices that satisfy fixed polynomial equation,"There is plenty of results concerning representation elements of an algebraic structure, mainly a group, as products of elements possessing some particular properties. In the matrix groups one of the most famous one is being an involution. The famous theorem states that every square matrix with determinant $\pm 1$ defined over a field is a product of at most four involutions. Simply by their definition, the involutions satisfy equation $x^2-1=0$, i.e. a quadratic equation. Hence, it is natural to raise a question does a similar result hold for matrices that satisfy some other fixed quadratic equation.
\par
Consider a field $F$ and an algebra $\mathcal{A}$ defined over $F$. Define polynomial $q$ by the formula $q(x)=a_2x^2+a_1x+a_0$, where $a_2 \neq 0$. If element $a \in \mathcal{A}$ satisfies $q(a)=0$, then we say that $a$ is quadratic with respect to $q(x)$, or shortly that $a$ is $q(x)$-quadratic.
Recently, Bien et al. \cite{bi_ta_tr_tr} proved that every $\mathbb{N} \times \mathbb{N}$ upper triangular matrix whose diagonal entries are of the form $\lambda_1^{s_i}\lambda_2^{t_i}$, where $s_i+t_i=k$ for every $i \in \mathbb{N}$, $\lambda_1$, $\lambda_2 \neq 0$, can be expressed as a product of at most $k$ quadratic matrices with respect to $q_{\lambda_1,\lambda_2}(x)=(x-\lambda_1)(x-\lambda_2)$.
This result brings up further questions. Does the same claim holds when $\lambda_1\lambda_2=0$? Does it also hold when we replace the quadratic polynomial by a polynomial of degree $n$ ($\ngeqslant 3$)? During this talk we are going to discuss these issues.


\begin{thebibliography}{66}
\bibitem{bi_ta_tr_tr} M.H. Bien, V.M. Tam, D.C.M. Tri, L.Q. Truong, Products of infinite upper triangular matrices, Linear Algebra Appl. 699 (2024), 59-71.
\bibitem{tr_sl} L.Q. Truong, R. S{\l}owik, Products of infinite upper triangular matrices that satisfy fixed polynomial equation, in preparation.
\end{thebibliography}"
23,Sirshendu,Pan,Contributed talk,Universal winner in trees,"Let $A \in M_n$ be nonnegative, irreducible and $E_{ii}=e_ie_i^t$, where $e_i$ is the $i$-th standard basis vector. For a fixed $t_0>0$, an index $p \in [n]:={1,2,\ldots,n}$ is called a winner for $t_0$ if the spectral radius $\rho(A+t_0E_{pp})=\max\limits_{i\in [n]}\rho(A+t_0E_{ii})$. If $p$ remains a winner for each $t>0$, then it is called a universal winner. The concepts have been introduced in 1996 and studied in only a few articles till now. When $G$ is a simple connected graph (or a strongly connected digraph), the nonnegative weighted adjacency matrix $A(G)$ being irreducible, one can talk of a universal winner vertex with respect to $A(G)$. The universal winners seem to capture the graph structures well. It is known that the only connected digraph $G$ in which all vertices are universal winners with respect to all nonnegative weighted $A(G)$, is the directed cycle, thereby characterizing it. Let $U\subset [n]$ be nonempty. In a recent article, the class of directed connected graphs with vertex set $[n]$, for which only the vertices in $U$ are the universal winners with respect to all nonnegative weighted $A(G)$ was characterized, generalizing the earlier result. Many other combinatorial results exploiting the graph structure were proved establishing the importance of the study of universal winner vertices. In this article, we further the study for the class of undirected graphs, in particular for trees, with respect to only the adjacency matrix. As expected, we supply a class of trees in which no universal winner exists. More interestingly, every tree is a subtree of a tree with a unique universal winner and also a subtree of a tree without a universal winner. Trees with exactly $k>1$ universal winners are not easy to find. A construction of a class of trees with exactly $k$ universal winners is provided. Interestingly, it turns out that for any undirected connected graph $G$, the set of universal winners of $G$ and the corona $G\circ K_1$ are the same, where the later is obtained by adding a new pendent vertex to each vertex of $G$. It is also shown that if $\rho(A(G))>2$, then no vertex of degree one or two can be a universal winner. Previously, it was known that for a path $P$, the central vertices are the universal winners and as a vertex $u$ goes farther from the center, the spectral radius $\rho(A(P)+tE_{uu})$ decreases. We prove that a similar statement also holds for a grid graph."
24,Madhab,Mondal,Contributed talk,A $q$-analogue of the distance matrix of a tree with matrix weights,"A $q$-analogue of the distance matrix (called the $q$-distance matrix) of a tree was introduced in [Bapat RB, Lal AK, Pati S. A $q$-analogue of the distance matrix of a tree. Linear Algebra Appl. 2006;416(2-3):799--814]. It was formed from the distance matrix $D$ by substituting each entry $d(i,j)$ of $D$ by $1+q+\cdots+q^{d(i,j)-1}$. In this article, we consider the $q$-distance matrix of a weighted tree, where the edge weights are matrices of the same size. We deduce a formula for the determinant of the $q$-distance matrix of a tree. Subsequently, we present a necessary and sufficient condition for the $q$-distance matrix to be invertible and derive an expression for the inverse whenever it exists. The expression for the inverse of the $q$-distance matrix leads us to introduce the $q$-analogue of the Laplacian matrix (named as the $q$-Laplacian matrix) for a tree with matrix weights. A formula for the determinant of the $q$-Laplacian matrix is also provided. Our results extend the existing results for the $q$-distance matrix of a weighted tree when the weights are real numbers, as well as the distance matrix of a tree with matrix weights (that can be obtained by setting $q=1$)."
25,Debabrota,Mondal,Contributed talk,Smallest positive eigenvalue of non-bipartite unicyclic graphs,"Let $G$ be a simple graph with the adjacency matrix $A(G)$. By the smallest positive eigenvalue of $G$, we mean the smallest positive eigenvalue of $A(G)$, and it is denoted by $\tau(G)$. This spectral parameter has significant applications in both chemical graph theory and spectral graph theory. In the literature, the study of the smallest positive eigenvalue has primarily focused on trees, bipartite unicyclic graphs, and bipartite graphs. In this talk, we discuss bounds on the smallest positive eigenvalue of non-bipartite unicyclic graphs and characterize the extremal graphs. This talk is based on joint work with Sasmita Barik and Subhasish Behera."
26,Pragati Asutosh,Jena,Contributed talk,Brouwer's conjecture for the corona and edge corona of graphs,"Let $G$ be a connected graph on $n$ vertices. Let $S_k(G)$ denote the sum of $k$ largest Laplacian eigenvalues of $G$ and $e(G)$ denote the number of edges in $G$. Brouwer conjectured that $S_k(G)\leq e(G)+\binom{k+1}{2}$ for any $k\in \{1,\ldots,n\}$. Let $H$ be a connected graph on $m\geq 2$ vertices. Here, we show that if $G$ and $H$ satisfy the Brouwer's conjecture, then the corona of $G$ and $H$ also satisfies the Brouwer's conjecture. Furthermore, when $G$ is regular, $n\geq 4$, $m\geq 3$ and $e(H)\geq m+1$, we prove that if $H$ satisfies the Brouwer's conjecture, then the edge corona of $G$ and $H$ also satisfies the Brouwer's conjecture. This talk is based on joint work with Sasmita Barik."
27,Iswar,Mahato,Contributed talk,A generalized class of matrices associated to threshold and chain graphs,"Motivated by the distance matrix $D(G)$ of a connected graph $G$, we define a new class of matrix $D_{\alpha,\beta,\gamma, \delta}(G)$ of a connected graph $G$ with diameter at most $3$, by substituting the entries $0,1,2$ and $3$ of $D(G)$ by the real variables $\alpha,\beta, \gamma$ and $\delta$, respectively. Clearly, by putting suitable values of $\alpha,\beta, \gamma$ and $\delta$, we get six interesting known matrices, such as adjacency matrix, Seidel matrix, distance matrix, squared distance matrix, $q$-distance matrix and exponential distance matrix. Therefore, for a graph $G$ with diameter at most $3$, the matrix $D_{\alpha,\beta,\gamma, \delta}(G)$ generalizes these six known matrices. In this article, we consider $D_{\alpha,\beta,\gamma}(G)$ of a threshold graph $G$ and determine an eigenvalue free-interval for $D_{\alpha,\beta,\gamma}(G)$. As a consequence of this result, we recover the known results about the eigenvalue free-interval of the adjacency matrix, the Seidel matrix and the distance matrix of a threshold graph, respectively and obtain an eigenvalue free-interval for the squared distance matrix, the $q$-distance matrix and the exponential distance matrix of a threshold graph, respectively. Moreover, we give an explicit expression for the characteristic polynomial of $D_{\alpha,\beta,\gamma}(G)$. Furthermore, we consider $D_{\alpha,\beta,\gamma, \delta}(G)$ of a chain graph $G$ and find the characteristic polynomial of  $D_{\alpha,\beta,\gamma, \delta}(G)$. As a consequence of these results, we give a determinant formula for the distance matrix, the squared distance matrix, the $q$-distance matrix and the exponential distance matrix of a threshold graph and a chain graph, respectively. "
28,Damjana,Kokol Bukovšek,Contributed talk,Compressed commuting graphs of matrix rings,"In the talk we introduce compressed commuting graph of rings. It can be seen as a compression of the standard commuting graph (with the central elements added) where we identify the vertices that generate the same subring. The compression is chosen in such a way that it induces a functor from the category of rings to the category of graphs, which means that our graph takes into account not only the commutativity relation in the ring, but also the commutativity relation in all of its homomorphic images. 

We show that this compression is best possible for matrix algebras over finite fields. We consider the compressed commuting graphs of finite fields, rings of $2 \times 2$ matrices over finite fields and rings of $3 \times 3$ matrices over finite prime fields.

(This is a joint work with Ivan-Vanja Boroja, Hamid Reza Dorbidi, and Nik Stopar.)"
29,Dario Andrea,Bini,Plenary talk,Matrix structures in queueing and network models: An overview,"We provide an overview of some results concerning classes of matrices involved in queueing and network models. We show specific examples where the analysis of matrix structures, besides providing a better understanding of the original problem, is a fundamental step in designing effective ad hoc solution algorithms.

Two specific issues are considered:  the analysis of random walks on a regular grid in the quarter plane, and the assessment of the centrality of the edges in a graph. Both issues derive from the analysis of relevant real-world problems and are modeled by Markov chains describing random walks on a graph. 

In the first topic, the graph is a regular grid, and the specific features of the problem lead to semi-infinite transition probability matrices with a two-level tridiagonal and almost Toeplitz structure. We show that these matrices live in a suitable infinite-dimensional structured matrix algebra which is also a Banach space with respect to the infinity norm. This fact will be crucial to designing effective fast algorithms for computing the steady-state vector of the associated Markov chain.

In the second topic, the graph is typically a road map of a city or region. Thus, the Toeplitz structure of the associated transition probability matrix is lost. However, the sparsity and band structure of this matrix will allow us to easily compute a centrality measure of the edges defined in terms of Kemeny's constant of the associated Markov chain. The effectiveness of the model and the solution algorithms is tested on the road maps of Pisa and Tuscany.
"
